Country,Average BMI[note 3],Relative size of average BMI,Male BMI,Relative size of male BMI,Female BMI,Relative size of female BMI,Ratio of male to female BMI,Relative size of ratio
Afghanistan,21.01,21.01,21.36,21.36,20.65,20.65,1.034,1.034
Albania,24.53,24.53,27.6,27.6,21.45,21.45,1.287,1.287
Algeria,23.87,23.87,24.38,24.38,23.36,23.36,1.044,1.044
Angola,22.73,22.73,23.24,23.24,22.22,22.22,1.046,1.046
Argentina,26.44,26.44,27.76,27.76,25.11,25.11,1.106,1.106
Armenia,24.26,24.26,25.72,25.72,22.8,22.8,1.128,1.128
Australia,26.1,26.1,27.24,27.24,24.95,24.95,1.092,1.092
Austria,25,25,26.97,26.97,23.03,23.03,1.171,1.171
Azerbaijan,24.65,24.65,26.21,26.21,23.08,23.08,1.136,1.136
Bahamas,27.09,27.09,27.6,27.6,26.57,26.57,1.039,1.039
Bahrain,26.33,26.33,27.97,27.97,24.69,24.69,1.133,1.133
Bangladesh,20.32,20.32,21,21,19.63,19.63,1.07,1.07
Barbados,27.7,27.7,26.84,26.84,28.55,28.55,0.94,0.94
Belarus,26.72,26.72,26.32,26.32,27.11,27.11,0.971,0.971
Belgium,24.15,24.15,25.93,25.93,22.36,22.36,1.16,1.16
Belize,26.09,26.09,26.6,26.6,25.58,25.58,1.04,1.04
Benin,22.48,22.48,22.52,22.52,22.43,22.43,1.004,1.004
Bhutan,20.37,20.37,20.88,20.88,19.85,19.85,1.052,1.052
Bolivia,25.86,25.86,26.07,26.07,25.65,25.65,1.016,1.016
Bosnia and Herzegovina,23.94,23.94,26.18,26.18,21.69,21.69,1.207,1.207
Botswana,24.45,24.45,24.96,24.96,23.94,23.94,1.043,1.043
Brazil,24.79,24.79,25.85,25.85,23.72,23.72,1.09,1.09
Brunei,22.67,22.67,23.18,23.18,22.16,22.16,1.046,1.046
Bulgaria,23.77,23.77,26.53,26.53,21.01,21.01,1.263,1.263
Burkina Faso,21.25,21.25,21.86,21.86,20.64,20.64,1.059,1.059
Burundi,20.4,20.4,20.91,20.91,19.89,19.89,1.051,1.051
Cambodia,21.51,21.51,22.3,22.3,20.72,20.72,1.076,1.076
Cameroon,24.7,24.7,26.65,26.65,22.75,22.75,1.171,1.171
Canada,25.7,25.7,27.04,27.04,24.36,24.36,1.11,1.11
Cape Verde,23.44,23.44,23.95,23.95,22.93,22.93,1.044,1.044
Central African Republic,20.99,20.99,20.97,20.97,21.01,21.01,0.998,0.998
Chad,21.42,21.42,22.04,22.04,20.8,20.8,1.06,1.06
